FIPSCode,FIPSCodeFix,STNAME,CTYNAME,POPSIZE,HDMORTPERPERSON,TOTHDMORT,POPDENSITY,HOUSINGUNITS,HOUSINGUNITDENSITY,AVGINCOMEPERPERSON,PCTDIABETES,PCTMALE,PCTFEMALE,PCTWHITE,PCTAFRAM,PCTASIANAM,PCTNATIVEAM,LOWEDUCATION,MEDEDUCATION,HIGHEDUCATION,TOTUNEMPLOYED,PCTUNEMPLOYED,PCTPOPUNDER30,PCTPOP30TO65,PCTPOPOVER65,PCTOBESE
01001,1001,Alabama,Autauga County,54792,0.004452,243.933984,91.8,22135,37.2,33976,13,48.618,51.382,78.451,18.234,1.020,0.498,12.8,33.5,53.6,1604,2.927434662,40.18287341,46.20200029,13.6151263,34.1
01003,1003,Alabama,Baldwin County,195147,0.003761,733.947867,114.6,104061,65.5,32514,10.4,48.799,51.201,87.379,9.402,0.883,0.750,10.5,28.8,60.8,5647,2.893716019,35.70385402,46.13137788,18.1647681,27.4
01005,1005,Alabama,Barbour County,26938,0.004767,128.413446,31,11829,13.4,32882,18.4,53.404,46.596,49.996,47.955,0.471,0.542,26.7,34.5,38.8,930,3.452372114,37.24849655,46.80748385,15.9440196,44.4
01007,1007,Alabama,Bibb County,22501,0.004589,103.257089,36.8,8981,14.4,35986,14.8,53.784,46.216,76.734,21.701,0.151,0.391,19.3,42.1,38.5,688,3.057641883,37.12279454,48.5978401,14.27936536,40.3
01009,1009,Alabama,Blount County,57746,0.003858,222.784068,88.9,23887,37,30957,14.1,49.373,50.627,96.138,1.654,0.272,0.608,21.5,33.4,45.1,1560,2.701485817,37.71862986,45.82828248,16.45308766,34.6
01011,1011,Alabama,Bullock County,10576,0.004235,44.78936,17.5,4493,7.2,31654,19.6,54.482,45.518,26.513,70.641,0.293,0.794,35.1,33.3,31.6,447,4.226550681,38.11459909,47.22012103,14.66527988,43
01013,1013,Alabama,Butler County,20330,0.004748,96.52684,27,9964,12.8,31289,17.7,46.670,53.330,54.107,43.704,1.013,0.339,22.2,37.7,40.1,940,4.623708805,37.81111658,44.51549434,17.67338908,36.3
01015,1015,Alabama,Calhoun County,116475,0.005576,649.4646,195.7,53289,88,36360,14.9,48.240,51.760,76.118,20.787,0.834,0.493,19.1,31.8,49.1,4239,3.639407598,38.94913071,45.50676111,15.54410818,32.2
01017,1017,Alabama,Chambers County,34123,0.004354,148.571542,57.4,17004,28.5,32334,16.4,47.988,52.012,58.635,39.126,0.815,0.252,21.1,38.4,40.6,1216,3.563578818,35.91712335,46.24446854,17.83840811,39.7
01019,1019,Alabama,Cherokee County,26074,0.004536,118.271664,46.9,16267,29.4,30955,13.3,49.712,50.288,93.446,4.318,0.234,0.525,20.5,36.4,43.1,753,2.887934341,32.81429777,47.02001994,20.16568229,33.6
01021,1021,Alabama,Chilton County,43769,0.005411,236.834059,63,19278,27.8,31929,13.3,49.311,50.689,87.583,10.169,0.457,0.489,21.6,39.2,39.2,1267,2.894742855,38.83113619,46.22221207,14.94665174,35.9
01023,1023,Alabama,Choctaw County,13384,0.005409,72.394056,15.2,7269,8,46856,18.1,47.841,52.159,56.426,42.618,0.194,0.202,23.6,36.8,39.6,433,3.235206216,33.35325762,46.27166766,20.37507472,40.8
01025,1025,Alabama,Clarke County,25105,0.004448,111.66704,20.9,12638,10.2,36983,16.3,47.262,52.738,54.161,44.230,0.386,0.406,19.5,43.9,36.6,1139,4.536944832,36.84126668,45.59649472,17.5622386,38.2
01027,1027,Alabama,Clay County,13464,0.005031,67.737384,23.1,6776,11.2,30362,14.6,48.856,51.144,83.066,14.364,0.208,0.587,24.9,36.3,38.8,450,3.342245989,34.67023173,46.27896613,19.05080214,37.3
